"","subject","source","target","sent_date","sent_time","type"
"1","2497-00 Initial flow rates","Gustav.Cazar@gastech.com.kronos","Vira.Frente@gastech.com.kronos","2014-01-13","01:45:00 PM","Work related"
"2","2497-00 Initial flow rates","Gustav.Cazar@gastech.com.kronos","Axel.Calzas@gastech.com.kronos","2014-01-13","01:45:00 PM","Work related"
"3","2497-00 Perforation","Vira.Frente@gastech.com.kronos","Lidelse.Dedos@gastech.com.kronos","2014-01-13","02:18:00 PM","Work related"
"4","2497-00 Perforation","Vira.Frente@gastech.com.kronos","Adra.Nubarron@gastech.com.kronos","2014-01-13","02:18:00 PM","Work related"
"5","2497-00 Perforation","Vira.Frente@gastech.com.kronos","Gustav.Cazar@gastech.com.kronos","2014-01-13","02:18:00 PM","Work related"
"6","2497-00 Perforation","Vira.Frente@gastech.com.kronos","Kare.Orilla@gastech.com.kronos","2014-01-13","02:18:00 PM","Work related"
"7","2497-00 Perforation","Vira.Frente@gastech.com.kronos","Felix.Balas@gastech.com.kronos","2014-01-13","02:18:00 PM","Work related"
"8","2497-00 Perforation","Vira.Frente@gastech.com.kronos","Elsa.Orilla@gastech.com.kronos","2014-01-13","02:18:00 PM","Work related"
"9","2497-00 Perforation","Vira.Frente@gastech.com.kronos","Axel.Calzas@gastech.com.kronos","2014-01-13","02:18:00 PM","Work related"
"10","2497-00 Perforation","Vira.Frente@gastech.com.kronos","Birgitta.Frente@gastech.com.kronos","2014-01-13","02:18:00 PM","Work related"
"11","2497-00 Perforation","Vira.Frente@gastech.com.kronos","Isande.Borrasca@gastech.com.kronos","2014-01-13","02:18:00 PM","Work related"
"12","2497-00 Perforation","Vira.Frente@gastech.com.kronos","Brand.Tempestad@gastech.com.kronos","2014-01-13","02:18:00 PM","Work related"
"13","2497-00 Perforation","Vira.Frente@gastech.com.kronos","Marin.Onda@gastech.com.kronos","2014-01-13","02:18:00 PM","Work related"
